Codi,Barris,2019,2018,2017,2016,2015,2014,2013
,Barcelona,978.81,929.57,877.28,801.28,734.94,688.23,681.56
1,el Raval,850.11,821.84,748.58,667.00,625.82,577.85,571.82
2,el Barri Gòtic,1097.29,1024.78,973.27,868.95,786.04,749.99,715.56
3,la Barceloneta,895.90,899.37,745.81,667.34,602.62,563.08,559.55
4,Sant Pere - Santa Caterina i la Ribera,996.35,972.07,916.65,807.26,723.45,685.14,659.16
5,el Fort Pienc,1012.41,950.32,900.42,823.45,768.12,723.33,718.31
6,la Sagrada Família,960.21,909.59,876.25,775.99,713.15,680.68,664.30
7,la Dreta de l'Eixample,1307.62,1254.59,1195.23,1138.08,1012.51,945.88,913.81
8,l'Antiga Esquerra de l'Eixample,1162.32,1113.08,1060.03,979.20,911.14,843.86,817.95
9,la Nova Esquerra de l'Eixample,1053.83,987.65,943.23,870.48,783.84,732.13,730.10
10,Sant Antoni,994.91,934.34,900.48,842.47,765.61,711.37,710.35
11,el Poble Sec - AEI Parc Montjuïc,837.05,801.81,749.52,669.53,612.15,582.60,581.32
12,la Marina del Prat Vermell - AEI Zona Franca,374.35,,,356.56,404.71,,
13,la Marina de Port,766.25,751.06,691.42,544.38,542.27,527.28,561.00
14,la Font de la Guatlla,865.92,839.71,811.08,737.15,695.20,644.64,662.89
15,Hostafrancs,830.56,796.27,747.09,687.85,624.65,593.91,579.79
16,la Bordeta,851.22,801.44,789.98,678.86,638.46,611.37,618.56
17,Sants - Badal,851.58,784.54,759.18,691.17,626.57,597.28,599.04
18,Sants,877.79,826.18,787.23,711.32,653.30,624.12,617.91
19,les Corts,1097.24,1039.61,1002.47,939.10,856.34,782.88,787.89
20,la Maternitat i Sant Ramon,1009.21,973.55,925.16,847.88,756.62,760.26,718.04
21,Pedralbes,1860.56,1739.60,1785.63,1661.83,1729.95,1473.83,1362.90
22,Vallvidrera - el Tibidabo i les Planes,1205.65,937.55,1220.00,1153.38,1006.53,1134.25,925.60
23,Sarrià,1375.10,1368.51,1353.86,1187.49,1109.66,1041.15,974.89
24,les Tres Torres,1657.03,1599.89,1634.12,1515.00,1385.04,1323.89,1260.27
25,Sant Gervasi - la Bonanova,1304.34,1285.61,1236.68,1125.32,1046.44,942.56,915.45
26,Sant Gervasi - Galvany,1397.27,1347.84,1311.47,1241.82,1156.26,1047.42,1009.90
27,el Putxet i el Farró,1086.42,995.37,930.19,876.64,799.69,760.35,729.86
28,Vallcarca i els Penitents,972.22,925.02,910.93,787.70,735.76,665.48,660.75
29,el Coll,801.98,740.36,724.94,620.03,557.00,555.87,557.10
30,la Salut,918.31,877.30,799.97,773.44,705.21,668.51,578.25
31,la Vila de Gràcia,962.95,915.88,860.63,799.64,733.12,681.71,673.32
32,el Camp d'en Grassot i Gràcia Nova,983.36,908.89,864.07,803.49,725.40,683.32,667.47
33,el Baix Guinardó,882.01,828.80,770.94,701.99,642.64,620.97,614.80
34,Can Baró,769.06,738.12,686.96,636.75,553.97,542.72,538.09
35,el Guinardó,819.05,771.48,736.91,666.44,612.90,581.39,582.92
36,la Font d'en Fargues,885.61,828.28,817.10,717.41,723.54,712.41,680.11
37,el Carmel,685.10,644.34,603.34,554.95,510.98,495.00,492.67
38,la Teixonera,738.87,701.69,648.90,578.63,519.68,486.44,503.74
39,Sant Genís dels Agudells,738.54,656.13,674.67,609.30,551.20,553.89,543.46
40,Montbau,793.93,737.83,724.77,644.26,630.37,552.54,575.87
41,la Vall d'Hebron,864.65,859.76,828.96,767.36,696.29,699.39,704.38
42,la Clota,666.18,500.42,651.25,538.75,350.25,480.00,
43,Horta,782.94,747.32,698.37,630.61,579.90,567.24,584.13
44,Vilapicina i la Torre Llobeta,781.73,744.08,714.83,638.53,586.63,568.23,577.01
45,Porta,751.42,706.25,662.04,603.59,555.04,529.55,548.92
46,el Turó de la Peira,697.25,676.57,615.50,552.19,504.34,473.16,480.81
47,Can Peguera,419.43,439.63,417.84,253.10,211.35,221.13,324.82
48,la Guineueta,744.16,714.86,650.05,623.36,562.81,614.56,620.35
49,Canyelles,752.08,716.55,680.56,625.61,563.96,536.41,587.26
50,les Roquetes,621.17,602.08,533.39,489.55,463.73,450.76,451.25
51,Verdun,663.40,630.64,591.66,533.33,470.40,487.88,507.62
52,la Prosperitat,684.40,665.59,628.11,562.30,530.26,504.86,518.78
53,la Trinitat Nova,606.73,580.85,541.48,431.10,448.32,434.42,437.50
54,Torre Baró,471.76,512.49,425.64,412.60,404.92,334.46,396.04
55,Ciutat Meridiana,562.08,506.44,435.36,402.63,396.43,372.85,403.49
56,Vallbona,581.97,613.86,476.43,469.73,415.08,281.71,
57,la Trinitat Vella,602.88,586.48,497.60,479.29,441.48,422.91,457.78
58,Baró de Viver,486.20,621.01,458.37,216.41,287.39,241.15,244.03
59,el Bon Pastor,685.57,682.81,627.45,540.41,537.29,496.58,505.96
60,Sant Andreu,805.29,764.83,733.94,658.60,613.34,576.60,576.71
61,la Sagrera,817.35,780.89,667.56,665.59,636.60,607.04,643.45
62,el Congrés i els Indians,793.43,774.38,730.84,649.67,610.94,583.67,584.94
63,Navas,853.36,813.23,777.64,714.10,672.02,623.78,630.47
64,el Camp de l'Arpa del Clot,856.00,818.66,778.14,697.99,644.01,598.82,609.36
65,el Clot,856.54,808.90,767.51,695.55,651.60,624.84,624.21
66,el Parc i la Llacuna del Poblenou,1014.72,995.22,893.67,823.60,748.85,693.72,687.87
67,la Vila Olímpica del Poblenou,1361.65,1284.43,1259.70,1184.04,1104.48,1003.24,926.71
68,el Poblenou,1004.72,961.73,900.22,794.11,735.04,654.35,670.44
69,Diagonal Mar i el Front Marítim del Poblenou,1372.38,1085.34,1092.06,1124.80,1059.75,892.03,914.10
70,el Besòs i el Maresme,738.08,685.56,613.03,541.25,506.71,477.06,510.80
71,Provençals del Poblenou,982.03,948.80,932.02,839.80,661.38,639.55,594.32
72,Sant Martí de Provençals,837.58,792.68,765.22,700.75,673.92,633.78,638.09
73,la Verneda i la Pau,778.41,740.92,688.63,605.56,610.72,565.47,576.17
